TIMESTAMP,time,RECORD,BattVolt,PanTemp_Avg,IRTC_general_Avg,short_in_Avg,short_out_Avg,long_in_raw_Avg,long_out_raw_Avg,cnr4_T_C_Avg,cnr4_T_K_Avg,long_in_corr_Avg,long_out_corr_Avg,net_short_Avg,net_long_Avg,albedo_Avg,net_rad_Avg,VWC_5_Avg,VWC_15_Avg,VWC_30_Avg,SoilTemp_2_Avg,SoilTemp_7_Avg,SoilTemp_15_Avg
2016-07-18 05:30:00,5.50,1025,12.3,1.474297,-5.143223,-2.271692,1.074211,-14.65282,-0.505376,1.701608,274.8516,308.9248,323.0723,-3.345903,-14.14744,-1.03821,-17.49335,0.408,0.39,0.476,-5.277,-6.246,-7.055
2016-07-18 05:45:00,5.75,1026,12.23,1.46479,-5.162384,-0.2346834,2.392559,-15.65672,-0.3167097,1.245996,274.396,305.7791,321.1191,-2.627242,-15.34001,-0.6176185,-17.96725,0.408,0.389,0.474,-5.295,-6.263,-7.085
2016-07-18 06:00:00,6.00,1027,12.3,1.349585,-5.33344,2.671853,2.754908,-15.36281,-0.1564998,1.098741,274.2487,305.3835,320.5898,-0.08305508,-15.20631,1.392471,-15.28937,0.407,0.388,0.473,-5.466,-6.46,-7.313
2016-07-18 06:15:00,6.25,1028,12.21,1.259511,-5.431023,7.076876,3.145557,-14.87829,-0.3717677,1.334293,274.4843,306.9717,321.4782,3.931319,-14.50652,0.4510339,-10.57521,0.407,0.387,0.471,-5.567,-6.567,-7.429
2016-07-18 06:30:00,6.50,1029,12.3,1.22714,-5.44456,13.24373,3.998601,-14.83408,-0.1565015,1.303332,274.4533,306.8704,321.548,9.245127,-14.67758,0.3041712,-5.432454,0.407,0.386,0.47,-5.58,-6.574,-7.447
2016-07-18 06:45:00,6.75,1030,12.25,1.225373,-5.391981,19.01557,4.832396,-14.59622,-0.4855854,1.583058,274.7331,308.4221,322.5327,14.18317,-14.11063,0.2553071,0.07253768,0.406,0.386,0.47,-5.527,-6.51,-7.389
2016-07-18 07:00:00,7.00,1031,12.31,1.294341,-5.210621,23.73067,5.212336,-14.35046,-0.6086812,1.800427,274.9504,309.6914,323.4332,18.51834,-13.74178,0.21938,4.776561,0.406,0.385,0.469,-5.344,-6.31,-7.194
2016-07-18 07:15:00,7.25,1032,12.25,1.424914,-4.904441,28.66426,6.23397,-14.40772,-1.070756,2.29493,275.4449,311.9725,325.3094,22.43029,-13.33697,0.2176487,9.093323,0.406,0.385,0.468,-5.035,-5.975,-6.862
2016-07-18 07:30:00,7.50,1033,12.32,1.669732,-4.375732,33.15796,6.915035,-14.39045,-1.546414,2.908975,276.059,314.9099,327.7539,26.24292,-12.84403,0.2084979,13.39889,0.405,0.385,0.467,-4.5,-5.413,-6.3
2016-07-18 07:45:00,7.75,1034,12.35,2.061059,-3.472503,162.2614,17.67645,-14.60964,-2.876861,4.18423,277.3342,320.8244,332.5571,144.5849,-11.73277,0.1090435,132.8521,0.405,0.384,0.466,-3.594,-4.492,-5.387
2016-07-18 08:00:00,8.00,1035,12.31,3.047114,-1.102706,238.7315,29.21325,-16.16664,-3.530519,6.100758,279.2507,328.6348,341.2709,209.5182,-12.63612,0.1222226,196.8821,0.4,0.384,0.466,-1.209,-2.146,-3.07
2016-07-18 08:15:00,8.25,1036,12.46,4.460821,1.737892,280.8228,37.12559,-20.9318,-2.995838,7.359149,280.5091,330.1213,348.0572,243.6973,-17.93596,0.1321089,225.7613,0.398,0.384,0.465,1.663,0.816,-0.103
2016-07-18 08:30:00,8.50,1037,12.54,5.803973,4.227669,326.6729,45.20283,-28.8087,-2.84029,8.15323,281.3032,326.2364,352.2048,281.4701,-25.96841,0.1383351,255.5017,0.398,0.384,0.465,4.176,3.468,2.59
