z_sodar,speed_sodar,dir_sodar,u_sodar,v_sodar,w_sodar,dw_sodar,T_sodar,shear_sodar
30,0.7,305.3,0.57,-0.41,0.46,0,0,0.047
40,0.77,196.4,0.22,0.73,0.23,0,13.47,0.042
50,1.39,197,0.41,1.33,-0.05,0,13.51,0.033
60,0.88,175.3,-0.07,0.87,-0.32,0,13.62,0.025
70,1.55,176.7,-0.09,1.54,-0.41,0,13.85,0.018
80,1.68,180.9,0.03,1.68,-0.49,0,13.87,0.012
90,1.61,183.9,0.11,1.61,-0.52,0,13.88,0.007
100,2.05,185.9,0.21,2.04,-0.48,0,13.88,0.004
110,2.52,184.4,0.19,2.51,-0.4,0,13.93,0.003
120,2.76,183.8,0.18,2.75,-0.31,0,13.4,0.005
130,3.09,183.3,0.18,3.08,-0.17,0,13.35,0.007
140,2.99,186,0.31,2.97,0,0,12.9,0.008
150,2.84,192,0.59,2.77,0.17,0,12.87,0.009
160,2.5,193.1,0.57,2.44,0.31,0,12.64,0.009
170,2.35,194.8,0.6,2.27,0.46,0,12.43,0.009
180,2.69,189.7,0.45,2.65,0.52,0,12.27,0.008
190,3.01,185.6,0.3,3,0.59,0,12.1,0.007
200,3.89,180.9,0.06,3.89,0.51,0,11.92,0.006
210,4.31,175.5,-0.34,4.3,0.73,0,11.78,0.004
220,4.06,179,-0.07,4.06,0.94,0,11.66,0.003
230,3.46,181,0.06,3.46,1.15,0,11.52,0
240,3.05,189,0.48,3.01,1.15,0,11.34,0
250,3.55,178.4,-0.1,3.55,1.16,0,11.2,0
260,5.42,179.2,-0.08,5.42,1.06,0,10.93,0
270,5.84,177.5,-0.26,5.84,0.85,0,10.63,0
280,5.15,184.5,0.4,5.13,0.61,0,10.4,0
290,4.61,178.6,-0.11,4.61,0.46,0,10.1,0
300,4.49,175.8,-0.33,4.48,0.19,0,0,0
310,4.82,168.1,-0.99,4.72,0.05,0,0,0
320,4.61,152.3,-2.14,4.09,-0.15,0,0,0
330,4.47,150.3,-2.22,3.88,-0.23,0,0,0
340,4.56,140.2,-2.92,3.5,-0.27,0,0,0
350,4.83,152.1,-2.26,4.27,-0.24,0,0,0
360,5.5,138.2,-3.67,4.11,-0.28,0,0,0
370,5.84,135.9,-4.06,4.2,-0.65,0,0,0
380,5.96,133.3,-4.33,4.09,-1.01,0,0,0
390,5.86,142,-3.61,4.62,-1.12,0,0,0
400,6.44,137.5,-4.35,4.75,-0.85,0,0,0
410,6.54,141,-4.11,5.08,-0.84,0,0,0
420,6.93,137.1,-4.71,5.08,-0.95,0,0,0
430,7.5,135.2,-5.29,5.32,-1.48,0,0,0
440,7.84,132.8,-5.76,5.33,-1.56,0,0,0
450,8.24,128,-6.49,5.06,0,0,0,0
460,8.02,133,-5.87,5.47,0,0,0,0
470,8.38,135.9,-5.83,6.02,0,0,0,0
480,8.3,135.7,-5.79,5.95,0,0,0,0
490,8.07,138.1,-5.39,6,0,0,0,0
500,9.04,150.5,-4.45,7.87,0,0,0,0
,,,,,,,,
